id	word	grammar	preverbs	meanings
46001	upādānalakṣaṇā	f		implied signification (beyond the literal meaning)
46002	upāditsā	f		wish or readiness to accept
46003	upādeya	adj		to be taken or received; not to be refused; to be allowed; admissible; acceptable; to be included; included; to be chosen or selected; excellent; admirable
46004	upādeyatva	n		selection; choice; preference
46005	upādika	m		a kind of insect
46006	upādya	adj		next to the first; the second
46007	upādhi	m		that which is put in the place of another thing; a substitute; substitution; anything which may be taken for or has the mere name or appearance of another thing; appearance; phantom; disguise (said to be applied to certain forms or properties considered as disguises of the spirit); anything defining more closely; a peculiarity; an attribute; title; discriminative appellation; nickname; limitation; qualification; (in log.) a qualifying term added to a too general middle term to prevent ativyāpti; that which is placed under; supposition; condition; postulate; deception; deceit; species
46008	upādhikhaṇḍana	n		name of a work
46009	upādhitas	ind		in consequence of any qualification or condition
46010	upādhidūṣakatābīja	n		
46011	upādhimātrāyām	ind		for the sake of mere appearance
46012	upādhivivṛti	f		
46014	upāhita	m		outbreak of fire
46015	upādhi	m		point of view; aim; reflection on duty; virtuous reflection; a man who is careful to support his family
46016	upādhika	adj		exceeding; supernumerary; attributive; additional
46017	upādhyāya	m		a teacher; preceptor (who subsists by teaching a part of the Veda or Vedāṅgas)
46018	upādhyāyā	f		a female teacher
46019	upādhyāyī	f		the wife of a teacher
46020	upādhyāyasarvasva	n		name of a grammar
46021	upādhyāyānī	f		the wife of a teacher
46022	upādhvaryu	m		a second Adhvaryu (in place of the true Adhvaryu)
46023	upānasa	adj		being or standing on a carriage
46024	upānasa	n		the space in a carriage
46025	upānasyaka	m		name of Indra
46026	upānah	f		a sandal; shoe
46029	upānahin	adj		having shoes; shoed
46030	upānayana	n		the act of leading near or home (a wife)
46031	upānuvākya	adj		to be invoked with Anuvākyās
46032	upānuvākya	m		name of Agni
46033	upānuvākya	n		name of a particular section of the Taittirīyasaṃhitā
46034	upānta	adj		near to the end; last but one
46036	upānta	n		border; edge; the last place but one; immediate or close proximity; nearness; ￤u￟eres Ende
46039	upāntika	n		vicinity; proximity
46040	upāntima	adj		the last but one
46041	upāntya	adj		the last but one
46042	upāpa	m		the act of obtaining; acquirement
46043	upāpti	f		reaching; obtainment; winning
46044	upepsā	f		desire to obtain
46045	upābhigada	adj		unable to speak much
46046	upābhṛti	f		the act of bringing near
46047	upāyāta	adj		approached
46048	upāyāta	n		arrival
46049	upāra	m		offence; sin
46050	upāraṇa	n		sin; anst￶￟iger Ort
46051	upārata	adj		resting; lying upon; fixed upon; ceasing; turning back; returning; leaving off; giving up; free from
46052	upārama	m		the act of ceasing
46053	upārāma	m		rest; repose
46054	upāruh	f		a shoot; sprout; Zweig
46055	upārūḍha	adj		mounted; ascended; one who has arrived; approached
46056	upārjaka	adj		acquiring; obtaining; earning; gaining
46057	upārjana	fn		the act of procuring; acquiring; gaining
46059	upārjya	adj		to be acquired or earned
46060	upārdha	n		the first half; the half
46061	upālabdha	adj		reproached; reviled
46062	upālabdhavya	adj		to be reviled; blamable; censurable
46064	upālambha	m		reproach; censure; abuse; finding fault with; prohibition; interdict
46065	upālambhana	n		reproach; censure
46066	upālambhya	adj		to be laid hold of or seized (as a sacrificial animal); to be slain
46067	upālālya	adj		to be fondled
46068	upāli	m		name of one of Buddha's most eminent pupils (mentioned as the first propounder of the Buddhist law and as having been formerly a barber)
46069	upāvarohaṇa	n		the act of causing (fire) to come out (of the two Araṇis); kindling through friction
46070	upāvasu	adj		bringing near or procuring riches; zu Reichtum kommend
46072	upāvasṛṣṭa	n		the milk of a cow at the time when its calf is admitted
46073	upāvasāyin	adj		attaching one's self to; submissive; compliant
46074	upāvasita	adj		settled or abiding near by
46075	upāvaharaṇa	n		the act of taking or bringing down
46076	upāvi	m		name of a Ṛṣi
46077	upāvartana	n		the act of coming back; return
46078	upāvartitṛ	adj		one who will turn towards (periphrastic fut.)
46079	upāvṛt	f		return
46081	upāvṛtta	m		a horse rolling on the ground; name of a people
46082	upāvṛtti	f		return
46083	upāvyādha	m		a vulnerable or unprotected spot
46085	upāśāra	m		shelter; refuge
46086	upāśraya	m		leaning against; resting upon; any support for leaning against; a pillow; cushion; shelter; refuge; recourse
46088	upāśliṣṭa	adj		one who has clasped or laid hold of
46089	upāsana	n		the act of throwing off (arrows); exercise in archery
46090	upāsaka	adj		serving; worshipping; follower; intent on; engaged or occupied with
46091	upāsikā	f		a lay female votary of Buddha (as distinguished from a Bhikṣuṇī)
46092	upāsakadaśa	m		name of one of the Aṅgas or chief Jaina sacred writings
46093	upāsana	fn		the act of sitting or being near or at hand; serving; waiting upon; service; attendance; respect; homage; adoration; worship (with)
46094	upāsana	n		a seat; the being intent on or engaged in; domestic fire
46095	upāsanākhaṇḍa	n		name of the first section of the Gaṇeśapurāṇa
46096	upāsanācandrāmṛta	n		name of a work
46097	upāsanārtha	adj		worthy of attendance
46099	upāsā	f		homage; adoration; worship
46102	upāsitṛ	adj		one who reveres or pays homage
46104	upāsti	f		adoration; worship
46106	upāsaṅga	m		a quiver; name of a man
46108	upāsāditin	adj		one who has met or approached
46109	upāstamanavelā	f		the time about sunset
46110	upāstamayam	ind		about the time of sunset
46111	upāstra	n		a secondary or minor weapon
46112	upāsthita	adj		one who has mounted; standing or being (in a carriage); one who has devoted himself to
46113	upāsnāta	n		name of a Tīrtha
46115	upika	m		a diminutive for all proper names of men beginning with upa
46116	upiya	m		a diminutive for all proper names of men beginning with upa
46117	upila	m		a diminutive for all proper names of men beginning with upa
46118	upayat	adj		going near; approaching; flowing into; attached (said of rivers and female friends); entering any state; serving for
46119	upāya	m		coming near; approach; arrival; that by which one reaches one's aim; a means or expedient (of any kind); way; stratagem; craft; artifice; a means of success against an enemy (four are usually enumerated); joining in or accompanying (in singing)
46120	upāyacatuṣṭaya	n		the above four expedients against an enemy
46123	upāyatas	ind		by some means or expedient; in a clever way
46124	upāyaturīya	n		violence
46125	upāyatva	n		the state of being provided with means
46126	upāyayoga	m		application of means or combination of expedients
46127	upāyavat	adj		(any Stobha) marked by the joining in or accompaniment (of other Stobhas)
46128	upāyaśrībhadra	m		name of a Buddhist student
46129	upāyākṣepa	m		(in rhet.) deprecatory speech making mention of the remedy (against the evil deprecated)
46131	upāyana	n		the act of coming near; approach; going to a teacher; becoming a pupil; initiation; engaging (in any religious observance); undertaking; an offer; present; gift
46132	upāyanīkṛta	adj		offered as a present
46133	upāyin	adj		going near; one who approaches; one who reaches; approaching sexually; expert in the use of means
46134	upāyu	adj		approaching
46135	upeta	adj		one who has come near or approached; one who has betaken himself to; approached; arrived at; abiding in; one who has obtained or entered into any state or condition; one who has undertaken (e.g. a vow); come to; fallen to the share of; (a pupil) who has approached (a teacher); initiated; accompanied by; endowed with; furnished with; having; possessing; one who has approached (a woman sexually)
46137	upeti	f		approach; Aufwartung
46138	upetṛ	adj		one who sets about or undertakes
46142	upekṣa	m		name of a son of Śvaphalka or Akrūra [Li.pur.]
46143	upekṣā	f		overlooking; disregard; negligence; indifference; contempt; abandonment; endurance; patience; dissent; trick; deceit (as one of the minor expedients in war); regard
46144	upekṣaka	adj		overlooking; disregarding; indifferent; nicht beachtend; sich gleichg￼ltig verhaltend
46145	upekṣaṇa	n		the act of disregarding; overlooking; disregard; indifference; connivance; not doing; omission; care; circumspection
46146	upekṣaṇīya	adj		to be overlooked or disregarded; unworthy of regard; any object of indifference
46150	upenita	adj		driven in; pressed or pushed in
46151	upendra	m		name of Viṣṇu (born subsequently to Indra); name of a Nāga; name of Kṛṣṇa (born subsequently to Indra)
46152	upendrā	f		name of a river
46153	upendrabala	m		name of various men
46154	upendravajrā	f		name of a metre (consisting of four lines of eleven instants each)
46155	upendraśakti	m		name of a merchant
46156	upendhya	adj		to be kindled or inflamed
46157	upeṣant	m		name of an evil demon
46158	upoktavatī	f		a verse containing any form of upavac
46159	upottama	adj		last but one
46160	upottama	n		the last vowel but one
46161	upotthita	adj		risen up towards; approached; come near
46162	upotta	adj		moistened; wet
46163	upodaka	adj		near to water
46164	upodakī	fn		Basella Cordifolia
46165	upodikā	f		Basella Cordifolia
46166	upodayam	ind		about the time of sunrise
46167	upodāsṛpta	adj		crept out towards
46168	upodita	m		name of a man
46169	upoditi	m		name of a Ṛṣi (son of Gopāla)
46170	upodghāta	m		an introduction; preface; commencement; beginning; any observation or episodical narrative inserted by the way; anything begun; an example; opposite argument or illustration; analysis; the ascertainment of the elements of anything
46171	upodghātapāda	m		name of the third part of the Vāyupurāṇa
46172	upodbalaka	adj		helping; promoting; confirming; asserting
46173	upodbalana	n		the act of confirming; assertion; ratification
46174	upodbalita	adj		confirmed; asserted
46175	upolapa	adj		nearly of the character of a shrub; shrub-like; growing near bushes
46176	upoṣadha	m		name of a man (Buddh.)
46178	upoha	m		the act of accumulating; heaping up
46179	ubhaya	adj		both; of both kinds; in both ways; in both manners
46180	ubhayī	f		a kind of bricks
46182	ubhayaguṇa	adj		possessed of both qualities
46183	ubhayaṃkara	adj		doing or effecting both
46184	ubhayacara	adj		living in water and on land or in the air; amphibious
46185	ubhayacārin	adj		going or moving in both (night and day)
46186	ubhayacchannā	f		(in rhet.) a kind of enigma
46187	ubhayadyus	ind		on both days; on two subsequent days
46188	ubhayapadin	adj		having both Parasmai-pada and Ātmane-pada
46191	ubhayamukha	adj		a pregnant female (so called because the embryo has its face turned in an opposite direction to that of the mother)
46192	ubhayavaṃśya	adj		belonging to both families or lineages
46193	ubhayavat	adj		furnished with or containing both
46194	ubhayavāsin	adj		living or abiding in both (places)
46195	ubhayavidyā	f		the twofold science
46196	ubhayavidha	adj		of two kinds or forms
46197	ubhayavipulā	f		name of a metre
46198	ubhayavetana	adj		a spy who seemingly enters the enemy's service; a perfidious or treacherous servant
46199	ubhayavyañjana	n		having the marks of both sexes; a hermaphrodite
